"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"3434","chr05","SGD","gene",169799,170447,NA,"-",NA,"ID=YER007C-A;Name=YER007C-A;gene=TMA20;Alias=TMA20,RBF20;Ontology_term=GO:0003723,GO:0005737,GO:0042254,GO:0005840,GO:0006412;Note=Protein%20of%20unknown%20function%20that%20associates%20with%20ribosomes%20and%20has%20a%20putative%20RNA%20binding%20domain%3B%20interacts%20with%20Tma22p%3B%20null%20mutant%20exhibits%20translation%20defects%3B%20has%20homology%20to%20human%20oncogene%20MCT-1;dbxref=SGD:S000002957;orf_classification=Verified","YER007C-A"
"3440","chr05","SGD","gene",171379,175399,NA,"-",NA,"ID=YER008C;Name=YER008C;gene=SEC3;Alias=SEC3,PSL1;Ontology_term=GO:0006906,GO:0006904,GO:0007121,GO:0000145,GO:0006893,GO:0000910,GO:0030427,GO:0005515,GO:0005935,GO:0005934,GO:0000131,GO:0006887,GO:0006810,GO:0015031;Note=Non-essential%20subunit%20of%20the%20exocyst%20complex%20(Sec3p%2C%20Sec5p%2C%20Sec6p%2C%20Sec8p%2C%20Sec10p%2C%20Sec15p%2C%20Exo70p%2C%20Exo84p)%20which%20mediates%20targeting%20of%20post-Golgi%20vesicles%20to%20sites%20of%20active%20exocytosis%3B%20Sec3p%20specifically%20is%20a%20spatial%20landmark%20for%20secretion;dbxref=SGD:S000000810;orf_classification=Verified","YER008C"
"3442","chr05","SGD","gene",175693,176070,NA,"+",NA,"ID=YER009W;Name=YER009W;gene=NTF2;Alias=NTF2;Ontology_term=GO:0006913,GO:0006606,GO:0008536,GO:0005635,GO:0005622,GO:0006810,GO:0015031;Note=Nuclear%20envelope%20protein%2C%20interacts%20with%20GDP-bound%20Gsp1p%20and%20with%20proteins%20of%20the%20nuclear%20pore%20to%20transport%20Gsp1p%20into%20the%20nucleus%20where%20it%20is%20an%20essential%20player%20in%20nucleocytoplasmic%20transport;dbxref=SGD:S000000811;orf_classification=Verified","YER009W"
"3444","chr05","SGD","gene",176204,176908,NA,"-",NA,"ID=YER010C;Name=YER010C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Protein%20of%20unknown%20function%2C%20forms%20a%20ring-shaped%20homotrimer%3B%20has%20similarity%20to%20members%20of%20the%20prokaryotic%20rraA%20family%3B%20possibly%20involved%20in%20a%20phosphotransfer%20reaction;dbxref=SGD:S000000812;orf_classification=Verified","YER010C"
"3447","chr05","SGD","gene",178850,181089,NA,"+",NA,"ID=YER011W;Name=YER011W;gene=TIR1;Alias=TIR1,SRP1;Ontology_term=GO:0006950,GO:0005199,GO:0009277,GO:0016020,GO:0048503;Note=Cell%20wall%20mannoprotein%20of%20the%20Srp1p%2FTip1p%20family%20of%20serine-alanine-rich%20proteins%3B%20expression%20is%20downregulated%20at%20acidic%20pH%20and%20induced%20by%20cold%20shock%20and%20anaerobiosis%3B%20abundance%20is%20increased%20in%20cells%20cultured%20without%20shaking;dbxref=SGD:S000000813;orf_classification=Verified","YER011W"
"3451","chr05","SGD","gene",182620,183216,NA,"+",NA,"ID=YER012W;Name=YER012W;gene=PRE1;Alias=PRE1;Ontology_term=GO:0006511,GO:0006950,GO:0005634,GO:0004175,GO:0019774,GO:0030437,GO:0004298,GO:0005829,GO:0005839,GO:0008233,GO:0016787,GO:0043234;Note=20S%20proteasome%20beta-type%20subunit%3B%20localizes%20to%20the%20nucleus%20throughout%20the%20cell%20cycle;dbxref=SGD:S000000814;orf_classification=Verified","YER012W"
"3453","chr05","SGD","gene",183633,187070,NA,"+",NA,"ID=YER013W;Name=YER013W;gene=PRP22;Alias=PRP22;Ontology_term=GO:0004004,GO:0005681,GO:0031202,GO:0000391,GO:0000358,GO:0000386,GO:0000350,GO:0000166,GO:0003676,GO:0003723,GO:0004386,GO:0005524,GO:0005634,GO:0006397,GO:0008026,GO:0008380,GO:0016787;Note=DEAH-box%20RNA-dependent%20ATPase%2FATP-dependent%20RNA%20helicase%2C%20associates%20with%20lariat%20intermediates%20before%20the%20second%20catalytic%20step%20of%20splicing%3B%20mediates%20ATP-dependent%20mRNA%20release%20from%20the%20spliceosome%20and%20unwinds%20RNA%20duplexes;dbxref=SGD:S000000815;orf_classification=Verified","YER013W"
"3455","chr05","SGD","gene",187400,189019,NA,"+",NA,"ID=YER014W;Name=YER014W;gene=HEM14;Alias=HEM14;Ontology_term=GO:0004729,GO:0006783,GO:0005739,GO:0006118,GO:0006779,GO:0016491;Note=Protoporphyrinogen%20oxidase%2C%20a%20mitochondrial%20enzyme%20that%20catalyzes%20the%20seventh%20step%20in%20the%20heme%20biosynthetic%20pathway%2C%20converting%20protoporphyrinogen%20IX%20to%20protoporphyrin%20IX;dbxref=SGD:S000000816;orf_classification=Verified","YER014W"
"3457","chr05","SGD","gene",188531,189499,NA,"-",NA,"ID=YER014C-A;Name=YER014C-A;gene=BUD25;Alias=BUD25;Ontology_term=GO:0003674,GO:0005575,GO:0000282,GO:0006974;Note=Protein%20involved%20in%20bud-site%20selection%3B%20diploid%20mutants%20display%20a%20random%20budding%20pattern%20instead%20of%20the%20wild-type%20bipolar%20pattern;dbxref=SGD:S000007590;orf_classification=Verified","YER014C-A"
"3461","chr05","SGD","gene",189340,191574,NA,"+",NA,"ID=YER015W;Name=YER015W;gene=FAA2;Alias=FAA2,FAM1;Ontology_term=GO:0004467,GO:0006499,GO:0006629,GO:0005777,GO:0005739,GO:0000287,GO:0003824,GO:0006631,GO:0008152,GO:0016874;Note=Long%20chain%20fatty%20acyl-CoA%20synthetase%3B%20accepts%20a%20wider%20range%20of%20acyl%20chain%20lengths%20than%20Faa1p%2C%20preferring%20C9%3A0-C13%3A0%3B%20involved%20in%20the%20activation%20of%20endogenous%20pools%20of%20fatty%20acids;dbxref=SGD:S000000817;orf_classification=Verified","YER015W"
"3463","chr05","SGD","gene",192235,193269,NA,"+",NA,"ID=YER016W;Name=YER016W;gene=BIM1;Alias=BIM1,EB1,YEB1;Ontology_term=GO:0005881,GO:0005200,GO:0007019,GO:0007020,GO:0007026,GO:0007094,GO:0030473,GO:0000776,GO:0007064,GO:0005816,GO:0005874,GO:0007049,GO:0007067,GO:0008017,GO:0051301;Note=Microtubule-binding%20protein%20that%20together%20with%20Kar9p%20makes%20up%20the%20cortical%20microtubule%20capture%20site%20and%20delays%20the%20exit%20from%20mitosis%20when%20the%20spindle%20is%20oriented%20abnormally;dbxref=SGD:S000000818;orf_classification=Verified","YER016W"
"3465","chr05","SGD","gene",193459,195738,NA,"-",NA,"ID=YER017C;Name=YER017C;gene=AFG3;Alias=AFG3,YTA10;Ontology_term=GO:0045041,GO:0008237,GO:0006461,GO:0006508,GO:0005743,GO:0016887,GO:0005745,GO:0006465,GO:0006412,GO:0005739,GO:0000166,GO:0004222,GO:0005524,GO:0008233,GO:0008270,GO:0016020,GO:0016021,GO:0016787,GO:0017111,GO:0030163,GO:0046872;Note=Component%2C%20with%20Yta12p%2C%20of%20the%20mitochondrial%20inner%20membrane%20m-AAA%20protease%20that%20mediates%20degradation%20of%20misfolded%20or%20unassembled%20proteins%20and%20is%20also%20required%20for%20correct%20assembly%20of%20mitochondrial%20enzyme%20complexes;dbxref=SGD:S000000819;orf_classification=Verified","YER017C"
"3467","chr05","SGD","gene",195917,196579,NA,"-",NA,"ID=YER018C;Name=YER018C;gene=SPC25;Alias=SPC25;Ontology_term=GO:0005200,GO:0007020,GO:0007059,GO:0000780,GO:0000778,GO:0031262,GO:0000775,GO:0005634,GO:0007049,GO:0007067,GO:0051301;Note=Component%20of%20the%20evolutionarily%20conserved%20kinetochore-associated%20Ndc80%20complex%20(Ndc80p-Nuf2p-Spc24p-Spc25p)%3B%20involved%20in%20chromosome%20segregation%2C%20spindle%20checkpoint%20activity%20and%20kinetochore%20clustering;dbxref=SGD:S000000820;orf_classification=Verified","YER018C"
"3469","chr05","SGD","gene",196734,198164,NA,"+",NA,"ID=YER019W;Name=YER019W;gene=ISC1;Alias=ISC1;Ontology_term=GO:0009651,GO:0004629,GO:0030149,GO:0005739,GO:0005783,GO:0000287,GO:0016020,GO:0016021,GO:0016787,GO:0046872,GO:0031307,GO:0046513;Note=Mitochondrial%20membrane%20localized%20inositol%20phosphosphingolipid%20phospholipase%20C%2C%20hydrolyzes%20complex%20sphingolipids%20to%20produce%20ceramide%3B%20activated%20by%20phosphatidylserine%2C%20cardiolipin%2C%20and%20phosphatidylglycerol%3B%20mediates%20Na%2B%20and%20Li%2B%20halotolerance;dbxref=SGD:S000000821;orf_classification=Verified","YER019W"
"3471","chr05","SGD","gene",198213,198479,NA,"-",NA,"ID=YER019C-A;Name=YER019C-A;gene=SBH2;Alias=SBH2,SEB2;Ontology_term=GO:0008565,GO:0005784,GO:0006613,GO:0005783,GO:0005086,GO:0006605,GO:0006810,GO:0015031,GO:0016020,GO:0016021;Note=Ssh1p-Sss1p-Sbh2p%20complex%20component%2C%20involved%20in%20protein%20translocation%20into%20the%20endoplasmic%20reticulum%3B%20homologous%20to%20Sbh1p;dbxref=SGD:S000002127;orf_classification=Verified","YER019C-A"
"3473","chr05","SGD","gene",199108,200443,NA,"+",NA,"ID=YER020W;Name=YER020W;gene=GPA2;Alias=GPA2,SSP101;Ontology_term=GO:0007124,GO:0007165,GO:0003924,GO:0030437,GO:0005739,GO:0005886,GO:0001302,GO:0008361,GO:0000166,GO:0004871,GO:0005525,GO:0007186,GO:0019001;Note=Nucleotide%20binding%20alpha%20subunit%20of%20the%20heterotrimeric%20G%20protein%20that%20interacts%20with%20the%20receptor%20Gpr1p%2C%20has%20signaling%20role%20in%20response%20to%20nutrients%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20cell%20periphery;dbxref=SGD:S000000822;orf_classification=Verified","YER020W"
"3475","chr05","SGD","gene",200849,202409,NA,"+",NA,"ID=YER021W;Name=YER021W;gene=RPN3;Alias=RPN3,SUN2;Ontology_term=GO:0006511,GO:0003674,GO:0008541,GO:0005829,GO:0043234;Note=Essential%2C%20non-ATPase%20regulatory%20subunit%20of%20the%2026S%20proteasome%20lid%2C%20similar%20to%20the%20p58%20subunit%20of%20the%20human%2026S%20proteasome%3B%20temperature-sensitive%20alleles%20cause%20metaphase%20arrest%2C%20suggesting%20a%20role%20for%20the%20proteasome%20in%20cell%20cycle%20control;dbxref=SGD:S000000823;orf_classification=Verified","YER021W"
"3477","chr05","SGD","gene",202703,204766,NA,"+",NA,"ID=YER022W;Name=YER022W;gene=SRB4;Alias=SRB4,MED17;Ontology_term=GO:0006366,GO:0000119,GO:0016455,GO:0016592,GO:0005634,GO:0006350,GO:0006355;Note=Subunit%20of%20the%20RNA%20polymerase%20II%20mediator%20complex%3B%20associates%20with%20core%20polymerase%20subunits%20to%20form%20the%20RNA%20polymerase%20II%20holoenzyme%3B%20essential%20for%20transcriptional%20regulation;dbxref=SGD:S000000824;orf_classification=Verified","YER022W"
"3479","chr05","SGD","gene",204966,205826,NA,"+",NA,"ID=YER023W;Name=YER023W;gene=PRO3;Alias=PRO3,ORE2;Ontology_term=GO:0006561,GO:0004735,GO:0005737,GO:0006118,GO:0008652,GO:0016491;Note=Delta%201-pyrroline-5-carboxylate%20reductase%2C%20catalyzes%20the%20last%20step%20in%20proline%20biosynthesis;dbxref=SGD:S000000825;orf_classification=Verified","YER023W"
"3481","chr05","SGD","gene",205412,205624,NA,"-",NA,"ID=YER023C-A;Name=YER023C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20ORF%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20completely%20overlaps%20verified%20gene%20PRO3%3B%20identified%20by%20gene-trapping%2C%20microarray%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028622;orf_classification=Dubious","YER023C-A"
"3483","chr05","SGD","gene",206062,208827,NA,"+",NA,"ID=YER024W;Name=YER024W;gene=YAT2;Alias=YAT2;Ontology_term=GO:0004092,GO:0006066,GO:0009437,GO:0005737,GO:0008415,GO:0016740;Note=Carnitine%20acetyltransferase%3B%20has%20similarity%20to%20Yat1p%2C%20which%20is%20a%20carnitine%20acetyltransferase%20associated%20with%20the%20mitochondrial%20outer%20membrane;dbxref=SGD:S000000826;orf_classification=Verified","YER024W"
"3485","chr05","SGD","gene",209114,210697,NA,"+",NA,"ID=YER025W;Name=YER025W;gene=GCD11;Alias=GCD11,SUI4;Ontology_term=GO:0005840,GO:0003743,GO:0006413,GO:0005850,GO:0043614,GO:0000166,GO:0003924,GO:0005525,GO:0006412;Note=Gamma%20subunit%20of%20the%20translation%20initiation%20factor%20eIF2%2C%20involved%20in%20the%20identification%20of%20the%20start%20codon%3B%20binds%20GTP%20when%20forming%20the%20ternary%20complex%20with%20GTP%20and%20tRNAi-Met;dbxref=SGD:S000000827;orf_classification=Verified","YER025W"
"3489","chr05","SGD","gene",211713,212540,NA,"-",NA,"ID=YER026C;Name=YER026C;gene=CHO1;Alias=CHO1,PSS1;Ontology_term=GO:0003882,GO:0005783,GO:0006659,GO:0005739,GO:0005792,GO:0006656,GO:0008654,GO:0016020,GO:0016740,GO:0016780;Note=Phosphatidylserine%20synthase%2C%20functions%20in%20phospholipid%20biosynthesis%3B%20catalyzes%20the%20reaction%20CDP-diaclyglycerol%20%2B%20L-serine%20%3D%20CMP%20%2B%20L-1-phosphatidylserine%2C%20transcriptionally%20repressed%20by%20myo-inositol%20and%20choline;dbxref=SGD:S000000828;orf_classification=Verified","YER026C"
"3491","chr05","SGD","gene",213024,214277,NA,"-",NA,"ID=YER027C;Name=YER027C;gene=GAL83;Alias=GAL83,SPM1;Ontology_term=GO:0005634,GO:0007155,GO:0001403,GO:0005641,GO:0005737,GO:0004679,GO:0006468,GO:0007165,GO:0043254,GO:0031588;Note=One%20of%20three%20possible%20beta-subunits%20of%20the%20Snf1%20kinase%20complex%2C%20allows%20nuclear%20localization%20of%20the%20Snf1%20kinase%20complex%20in%20the%20presence%20of%20a%20nonfermentable%20carbon%20source%3B%20contains%20glycogen-binding%20domain;dbxref=SGD:S000000829;orf_classification=Verified","YER027C"
"3493","chr05","SGD","gene",214745,215935,NA,"-",NA,"ID=YER028C;Name=YER028C;gene=MIG3;Alias=MIG3;Ontology_term=GO:0006352,GO:0005634,GO:0003677,GO:0016566,GO:0000122,GO:0006974,GO:0043565,GO:0003676,GO:0005622,GO:0006350,GO:0006355,GO:0008270,GO:0046872;Note=Probable%20transcriptional%20repressor%20involved%20in%20response%20to%20toxic%20agents%20such%20as%20hydroxyurea%20that%20inhibit%20ribonucleotide%20reductase%3B%20phosphorylation%20by%20Snf1p%20or%20the%20Mec1p%20pathway%20inactivates%20Mig3p%2C%20allowing%20induction%20of%20damage%20response%20genes;dbxref=SGD:S000000830;orf_classification=Verified","YER028C"
"3496","chr05","SGD","gene",216642,217232,NA,"-",NA,"ID=YER029C;Name=YER029C;gene=SMB1;Alias=SMB1;Ontology_term=GO:0031202,GO:0000398,GO:0046540,GO:0005685,GO:0005682,GO:0003723,GO:0005634,GO:0006397,GO:0008380,GO:0016071,GO:0030529;Note=Core%20Sm%20protein%20Sm%20B%3B%20part%20of%20heteroheptameric%20complex%20(with%20Smd1p%2C%20Smd2p%2C%20Smd3p%2C%20Sme1p%2C%20Smx3p%2C%20and%20Smx2p)%20that%20is%20part%20of%20the%20spliceosomal%20U1%2C%20U2%2C%20U4%2C%20and%20U5%20snRNPs%3B%20homolog%20of%20human%20Sm%20B%20and%20Sm%20B';dbxref=SGD:S000000831;orf_classification=Verified","YER029C"
"3498","chr05","SGD","gene",217495,217994,NA,"+",NA,"ID=YER030W;Name=YER030W;gene=CHZ1;Alias=CHZ1;Ontology_term=GO:0005634,GO:0042393,GO:0006338,GO:0005678;Note=Histone%20chaperone%20for%20Htz1p%2FH2A-H2B%20dimer%3B%20required%20for%20the%20stabilization%20of%20the%20Chz1p-Htz1-H2B%20complex%3B%20has%20overlapping%20function%20with%20Nap1p%3B%20null%20mutant%20displays%20weak%20sensitivity%20to%20MMS%20and%20benomyl%3B%20contains%20a%20highly%20conserved%20CHZ%20motif;dbxref=SGD:S000000832;orf_classification=Verified","YER030W"
"3500","chr05","SGD","gene",218168,218839,NA,"-",NA,"ID=YER031C;Name=YER031C;gene=YPT31;Alias=YPT31,YPT8;Ontology_term=GO:0016192,GO:0003924,GO:0006887,GO:0005794,GO:0005768,GO:0005741,GO:0000166,GO:0005525,GO:0006810,GO:0007264,GO:0015031,GO:0016020;Note=GTPase%20of%20the%20Ypt%2FRab%20family%2C%20very%20similar%20to%20Ypt32p%3B%20involved%20in%20the%20exocytic%20pathway%3B%20mediates%20intra-Golgi%20traffic%20or%20the%20budding%20of%20post-Golgi%20vesicles%20from%20the%20trans-Golgi;dbxref=SGD:S000000833;orf_classification=Verified","YER031C"
"3502","chr05","SGD","gene",219159,221789,NA,"+",NA,"ID=YER032W;Name=YER032W;gene=FIR1;Alias=FIR1,PIP1;Ontology_term=GO:0006378,GO:0003674,GO:0005935,GO:0043631,GO:0006397;Note=Protein%20involved%20in%203'%20mRNA%20processing%2C%20interacts%20with%20Ref2p%3B%20potential%20Cdc28p%20substrate;dbxref=SGD:S000000834;orf_classification=Verified","YER032W"
"3504","chr05","SGD","gene",222156,225347,NA,"-",NA,"ID=YER033C;Name=YER033C;gene=ZRG8;Alias=ZRG8;Ontology_term=GO:0003674,GO:0008150,GO:0005737,GO:0005739;Note=Protein%20of%20unknown%20function%3B%20authentic%2C%20non-tagged%20protein%20is%20detected%20in%20highly%20purified%20mitochondria%20in%20high-throughput%20studies%3B%20GFP-fusion%20protein%20is%20localized%20to%20the%20cytoplasm%3B%20transcription%20induced%20under%20conditions%20of%20zinc%20deficiency;dbxref=SGD:S000000835;orf_classification=Verified","YER033C"
"3506","chr05","SGD","gene",225906,226450,NA,"+",NA,"ID=YER034W;Name=YER034W;Ontology_term=GO:0003674,GO:0008150,GO:0005737,GO:0005634;Note=Putative%20protein%20of%20unknown%20function%3B%20non-essential%20gene%3B%20expression%20induced%20upon%20calcium%20shortage;dbxref=SGD:S000000836;orf_classification=Uncharacterized","YER034W"
"3508","chr05","SGD","gene",226676,227110,NA,"+",NA,"ID=YER035W;Name=YER035W;gene=EDC2;Alias=EDC2;Ontology_term=GO:0000290,GO:0003723,GO:0005737,GO:0005634,GO:0000184,GO:0006397;Note=RNA-binding%20protein%2C%20activates%20mRNA%20decapping%20directly%20by%20binding%20to%20the%20mRNA%20substrate%20and%20enhancing%20the%20activity%20of%20the%20decapping%20proteins%20Dcp1p%20and%20Dcp2p;dbxref=SGD:S000000837;orf_classification=Verified","YER035W"
"3510","chr05","SGD","gene",227401,229233,NA,"-",NA,"ID=YER036C;Name=YER036C;gene=ARB1;Alias=ARB1;Ontology_term=GO:0005737,GO:0042254,GO:0000056,GO:0005634,GO:0042624,GO:0005840,GO:0000166,GO:0005524,GO:0006810,GO:0016887,GO:0017111;Note=ATPase%20of%20the%20ATP-binding%20cassette%20(ABC)%20family%20involved%20in%2040S%20and%2060S%20ribosome%20biogenesis%2C%20has%20similarity%20to%20Gcn20p%3B%20shuttles%20from%20nucleus%20to%20cytoplasm%2C%20physically%20interacts%20with%20Tif6p%2C%20Lsg1p;dbxref=SGD:S000000838;orf_classification=Verified","YER036C"
"3512","chr05","SGD","gene",229897,230862,NA,"+",NA,"ID=YER037W;Name=YER037W;gene=PHM8;Alias=PHM8;Ontology_term=GO:0003674,GO:0008150,GO:0005737,GO:0005634,GO:0003824,GO:0008152;Note=Protein%20of%20unknown%20function%2C%20expression%20is%20induced%20by%20low%20phosphate%20levels%20and%20by%20inactivation%20of%20Pho85p;dbxref=SGD:S000000839;orf_classification=Verified","YER037W"
"3514","chr05","SGD","gene",230866,232254,NA,"-",NA,"ID=YER038C;Name=YER038C;gene=KRE29;Alias=KRE29;Ontology_term=GO:0003674,GO:0005737,GO:0005634,GO:0030915,GO:0006281,GO:0006310,GO:0006974;Note=Essential%20subunit%20of%20the%20Mms21-Smc5-Smc6%20complex%3B%20protein%20of%20unknown%20function%3B%20required%20for%20growth%20and%20DNA%20repair%3B%20heterozygous%20mutant%20shows%20haploinsufficiency%20in%20K1%20killer%20toxin%20resistance;dbxref=SGD:S000000840;orf_classification=Verified","YER038C"
"3516","chr05","SGD","gene",232458,232841,NA,"+",NA,"ID=YER038W-A;Name=YER038W-A;gene=FMP49;Alias=FMP49;Ontology_term=GO:0008150,GO:0003674,GO:0005739;Note=Dubious%20open%20reading%20frame%2C%20unlikely%20to%20encode%20a%20protein%3B%20not%20conserved%20in%20closely%20related%20Saccharomyces%20species%3B%2099%25%20of%20ORF%20overlaps%20the%20verified%20gene%20HVG1%3B%20protein%20product%20detected%20in%20mitochondria;dbxref=SGD:S000028746;orf_classification=Dubious","YER038W-A"
"3518","chr05","SGD","gene",232465,233213,NA,"-",NA,"ID=YER039C;Name=YER039C;gene=HVG1;Alias=HVG1,YEM9;Ontology_term=GO:0008150,GO:0003674,GO:0005575,GO:0005338,GO:0015780,GO:0016020,GO:0016021;Note=Protein%20of%20unknown%20function%2C%20has%20homology%20to%20Vrg4p;dbxref=SGD:S000000841;orf_classification=Verified","YER039C"
"3520","chr05","SGD","gene",233269,233486,NA,"-",NA,"ID=YER039C-A;Name=YER039C-A;Ontology_term=GO:0003674,GO:0005575,GO:0008150,GO:0016020,GO:0016021;Note=Putative%20protein%20of%20unknown%20function%3B%20YER039C-A%20is%20not%20an%20essential%20gene;dbxref=SGD:S000007226;orf_classification=Uncharacterized","YER039C-A"
"3522","chr05","SGD","gene",233800,235989,NA,"+",NA,"ID=YER040W;Name=YER040W;gene=GLN3;Alias=GLN3;Ontology_term=GO:0006808,GO:0003700,GO:0006807,GO:0005829,GO:0045944,GO:0016563,GO:0045941,GO:0005634,GO:0003677,GO:0006350,GO:0006355,GO:0008270,GO:0042128,GO:0043565,GO:0046872;Note=Transcriptional%20activator%20of%20genes%20regulated%20by%20nitrogen%20catabolite%20repression%20(NCR)%2C%20localization%20and%20activity%20regulated%20by%20quality%20of%20nitrogen%20source;dbxref=SGD:S000000842;orf_classification=Verified","YER040W"
"3524","chr05","SGD","gene",236465,238750,NA,"+",NA,"ID=YER041W;Name=YER041W;gene=YEN1;Alias=YEN1;Ontology_term=GO:0000014,GO:0008150,GO:0005634,GO:0004518,GO:0006281;Note=Protein%20of%20unknown%20function%2C%20has%20similarity%20to%20endonuclease%20Rth1p%3B%20potentially%20phosphorylated%20by%20Cdc28p;dbxref=SGD:S000000843;orf_classification=Verified","YER041W"
"3526","chr05","SGD","gene",238938,239492,NA,"+",NA,"ID=YER042W;Name=YER042W;gene=MXR1;Alias=MXR1,MSRA;Ontology_term=GO:0006979,GO:0008113,GO:0005737,GO:0005634,GO:0016491,GO:0019538;Note=Peptide%20methionine%20sulfoxide%20reductase%2C%20reverses%20the%20oxidation%20of%20methionine%20residues%3B%20involved%20in%20oxidative%20damage%20repair%2C%20providing%20resistance%20to%20oxidative%20stress%20and%20regulation%20of%20lifespan;dbxref=SGD:S000000844;orf_classification=Verified","YER042W"
"3528","chr05","SGD","gene",239768,241117,NA,"-",NA,"ID=YER043C;Name=YER043C;gene=SAH1;Alias=SAH1;Ontology_term=GO:0006555,GO:0016259,GO:0005737,GO:0004013,GO:0006730,GO:0016787;Note=S-adenosyl-L-homocysteine%20hydrolase%2C%20catabolizes%20S-adenosyl-L-homocysteine%20which%20is%20formed%20after%20donation%20of%20the%20activated%20methyl%20group%20of%20S-adenosyl-L-methionine%20(AdoMet)%20to%20an%20acceptor;dbxref=SGD:S000000845;orf_classification=Verified","YER043C"
"3530","chr05","SGD","gene",241582,242028,NA,"-",NA,"ID=YER044C;Name=YER044C;gene=ERG28;Alias=ERG28,BUD18;Ontology_term=GO:0006696,GO:0005789,GO:0030674,GO:0005783,GO:0006694,GO:0008610,GO:0016020,GO:0016021,GO:0016126;Note=Endoplasmic%20reticulum%20membrane%20protein%2C%20may%20facilitate%20protein-protein%20interactions%20between%20the%20Erg26p%20dehydrogenase%20and%20the%20Erg27p%203-ketoreductase%20and%2For%20tether%20these%20enzymes%20to%20the%20ER%2C%20also%20interacts%20with%20Erg6p;dbxref=SGD:S000000846;orf_classification=Verified","YER044C"
"3532","chr05","SGD","gene",242469,243786,NA,"-",NA,"ID=YER044C-A;Name=YER044C-A;gene=MEI4;Alias=MEI4;Ontology_term=GO:0030437,GO:0007131,GO:0042138,GO:0003674,GO:0000794,GO:0005634,GO:0006310,GO:0007126,GO:0030435;Note=Meiosis-specific%20protein%20involved%20in%20recombination%3B%20required%20for%20chromosome%20synapsis%3B%20required%20for%20production%20of%20viable%20spores;dbxref=SGD:S000001954;orf_classification=Verified","YER044C-A"
"3536","chr05","SGD","gene",244048,245541,NA,"-",NA,"ID=YER045C;Name=YER045C;gene=ACA1;Alias=ACA1;Ontology_term=GO:0003704,GO:0006367,GO:0005634,GO:0003677,GO:0003700,GO:0006355,GO:0043565,GO:0046983;Note=Basic%20leucine%20zipper%20(bZIP)%20transcription%20factor%20of%20the%20ATF%2FCREB%20family%2C%20may%20regulate%20transcription%20of%20genes%20involved%20in%20utilization%20of%20non-optimal%20carbon%20sources;dbxref=SGD:S000000847;orf_classification=Verified","YER045C"
"3538","chr05","SGD","gene",247224,247655,NA,"+",NA,"ID=YER046W;Name=YER046W;gene=SPO73;Alias=SPO73;Ontology_term=GO:0003674,GO:0030437,GO:0030476,GO:0005829,GO:0016021,GO:0030435;Note=Meiosis-specific%20protein%20of%20unknown%20function%2C%20required%20for%20spore%20wall%20formation%20during%20sporulation%3B%20dispensible%20for%20both%20nuclear%20divisions%20during%20meiosis;dbxref=SGD:S000000848;orf_classification=Verified","YER046W"
"3540","chr05","SGD","gene",247737,248105,NA,"+",NA,"ID=YER046W-A;Name=YER046W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20functional%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028747;orf_classification=Dubious","YER046W-A"
"3542","chr05","SGD","gene",247850,250567,NA,"-",NA,"ID=YER047C;Name=YER047C;gene=SAP1;Alias=SAP1;Ontology_term=GO:0008150,GO:0005737,GO:0016887,GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0017111;Note=Putative%20ATPase%20of%20the%20AAA%20family%2C%20interacts%20with%20the%20Sin1p%20transcriptional%20repressor%20in%20the%20two-hybrid%20system;dbxref=SGD:S000000849;orf_classification=Verified","YER047C"
"3544","chr05","SGD","gene",251045,252220,NA,"-",NA,"ID=YER048C;Name=YER048C;gene=CAJ1;Alias=CAJ1;Ontology_term=GO:0030188,GO:0008150,GO:0005634,GO:0006457,GO:0031072,GO:0051082;Note=Nuclear%20type%20II%20J%20heat%20shock%20protein%20of%20the%20E.%20coli%20dnaJ%20family%2C%20contains%20a%20leucine%20zipper-like%20motif%2C%20binds%20to%20non-native%20substrates%20for%20presentation%20to%20Ssa3p%2C%20may%20function%20during%20protein%20translocation%2C%20assembly%20and%20disassembly;dbxref=SGD:S000000850;orf_classification=Verified","YER048C"
"3550","chr05","SGD","gene",254403,254687,NA,"+",NA,"ID=YER048W-A;Name=YER048W-A;gene=ISD11;Alias=ISD11;Ontology_term=GO:0005739,GO:0003674,GO:0016226,GO:0031314,GO:0005759;Note=Protein%20required%20for%20mitochondrial%20iron-sulfur%20cluster%20biosynthesis;dbxref=SGD:S000007237;orf_classification=Verified","YER048W-A"
